iter	MultiClass
0	1.509566851
1	1.268153385
2	1.098401703
3	0.9724653172
4	0.8706482528
5	0.7879276336
6	0.7203589247
7	0.662722255
8	0.6160916309
9	0.5726128003
10	0.5362230522
11	0.5044285815
12	0.4751206591
13	0.4497930069
14	0.429091095
15	0.4099768642
16	0.3931862608
17	0.3771543307
18	0.3631594106
19	0.3504853017
20	0.3389392329
21	0.3280678022
22	0.3186892607
23	0.3100405658
24	0.3015116779
25	0.294862057
26	0.2881662212
27	0.2818369517
28	0.2765927334
29	0.2712774223
30	0.266194324
31	0.2624456159
32	0.2578376124
33	0.2534232506
34	0.2495780372
35	0.2462935898
36	0.2433008007
37	0.2404271928
38	0.2373496492
39	0.2347961865
40	0.2321098033
41	0.2300819849
42	0.2278228403
43	0.2255795246
44	0.2234196394
45	0.221276837
46	0.2193967984
47	0.2181013842
48	0.2167099788
49	0.2151291828
50	0.2136337198
51	0.2123782128
52	0.2115368256
53	0.2099625793
54	0.2084641003
55	0.2070434924
56	0.2055326581
57	0.2047373133
58	0.2030425459
59	0.2018420043
60	0.2011961479
61	0.1999211578
62	0.1995110226
63	0.1983109985
64	0.1973938756
65	0.1966366384
66	0.1957379029
67	0.1946858791
68	0.1939225092
69	0.1933852675
70	0.1923847015
71	0.1919436968
72	0.1909545628
73	0.1902746402
74	0.1898728713
75	0.1891555128
76	0.1886849232
77	0.1881559467
78	0.1878275544
79	0.1871272839
80	0.1865878744
81	0.1859909867
82	0.1850071186
83	0.1844482897
84	0.1838230265
85	0.1831647375
86	0.1826330457
87	0.1817346983
88	0.1812216542
89	0.1807494981
90	0.1798500781
91	0.179358417
92	0.1789738084
93	0.1781690514
94	0.1777244134
95	0.1771178089
96	0.1763453596
97	0.1759189905
98	0.1755909928
99	0.1750449534
100	0.1742985249
101	0.1735426642
102	0.1730432568
103	0.1726400496
104	0.1722329841
105	0.1715346159
106	0.1708657397
107	0.1701655173
108	0.1698155133
109	0.1695279527
110	0.1690071379
111	0.1685553714
112	0.1682639286
113	0.167954663
114	0.1677274474
115	0.1671970045
116	0.166906228
117	0.1664368302
118	0.1659629669
119	0.1656020731
120	0.1651595134
121	0.1646543713
122	0.1643592058
123	0.164006205
124	0.1634432254
125	0.1630613447
126	0.1627331794
127	0.1622515744
128	0.1618719489
129	0.161420423
130	0.1611255653
131	0.160810915
132	0.1605557098
133	0.1602021198
134	0.1597632847
135	0.1591981181
136	0.1588992939
137	0.158440561
138	0.1580409984
139	0.1578471858
140	0.1575461122
141	0.1572047643
142	0.15696088
143	0.1567070306
144	0.1565670968
145	0.1563021799
146	0.156013601
147	0.1556567808
148	0.1553664807
149	0.1549383498
150	0.1545870398
151	0.1543651499
152	0.1538377724
153	0.1535709938
154	0.1533319219
155	0.1529117437
156	0.1527307035
157	0.1524426931
158	0.1520574933
159	0.1517301627
160	0.1513089636
161	0.1509405851
162	0.150771886
163	0.1505689153
164	0.1503959697
165	0.1500333992
166	0.1498571197
167	0.1496564644
168	0.1494344334
169	0.1491304456
170	0.1489564145
171	0.1487340314
172	0.1482987486
173	0.148048306
174	0.1478067361
175	0.1475217358
176	0.146971525
177	0.1467520076
178	0.146592195
179	0.1464164873
180	0.1461859423
181	0.1460462371
182	0.1456769663
183	0.1454477269
184	0.1451480306
185	0.1449431769
186	0.144768345
187	0.1446117389
188	0.1443737623
189	0.1440837527
190	0.1437152766
191	0.1434914148
192	0.1431240432
193	0.1428115575
194	0.1425885401
195	0.1423387408
196	0.142072693
197	0.1418591356
198	0.1416613421
199	0.1413244032
200	0.1411008144
201	0.1408971429
202	0.1406302725
203	0.1403245228
204	0.1401143064
205	0.1398990879
206	0.1397027512
207	0.1392619505
208	0.1391118359
209	0.1389314212
210	0.1386804467
211	0.1384227517
212	0.1382459921
213	0.1379595646
214	0.137785591
215	0.1375244214
216	0.1371843154
217	0.1370378361
218	0.136744062
219	0.1365943329
220	0.1363379081
221	0.136126297
222	0.135953512
223	0.1356906824
224	0.1354574792
225	0.1353703766
226	0.1351768656
227	0.1348731344
228	0.1347048023
229	0.1344663077
230	0.1343217598
231	0.1342035615
232	0.1340192518
233	0.1338371239
234	0.1336112483
235	0.1333359899
236	0.1331203333
237	0.1328945996
238	0.132712802
